104,111,195,blue
101,112,193,blue
111,116,193,blue
74,90,184,blue
84,107,195,blue
93,108,188,blue
78,99,187,blue
116,122,205,blue
191,93,103,red
227,128,128,red
190,111,98,red
209,106,100,red
209,107,113,red
159,86,85,red
165,91,81,red
169,78,85,red
222,194,181,white
169,149,149,white
229,196,184,white
197,170,165,white
226,188,178,white
194,177,166,white
163,145,140,white
204,175,179,white
63,84,43,green
49,71,35,green
36,52,23,green
41,55,26,green
41,65,29,green
32,51,18,green
66,74,46,green
17,33,11,green
84,77,99,orange
83,74,83,orange
115,100,109,orange
97,93,111,orange
116,103,113,orange
71,55,53,orange
120,103,111,orange
113,96,111,orange
193,143,85,yellow
221,173,110,yellow
211,162,98,yellow
190,142,103,yellow
194,148,104,yellow
187,144,63,yellow
188,150,91,yellow
196,153,94,yellow
