40,40,106,blue
35,36,98,blue
55,61,147,blue
11,31,123,blue
3,24,105,blue
7,23,93,blue
66,89,197,blue
98,120,217,blue
1,84,10,green
16,121,49,green
4,109,70,green
15,115,69,green
33,102,65,green
1,84,9,green
21,21,21,orange
14,13,12,orange
16,11,19,orange
10,8,12,orange
21,19,26,orange
185,66,68,red
146,55,63,red
95,9,30,red
105,48,67,red
119,30,45,red
150,33,43,red
161,91,109,red
188,164,152,white
206,212,242,white
209,223,255,white
205,177,171,white
129,134,149,white
198,171,160,white
106,112,125,white
225,193,96,yellow
159,144,55,yellow
164,148,40,yellow
229,183,79,yellow
145,123,40,yellow
176,162,48,yellow
106,86,1,yellow
205,186,97,yellow
210,186,105,yellow
119,101,1,yellow
