178,214,254,blue
148,157,175,blue
97,103,117,blue
184,186,224,blue
87,100,118,blue
139,164,189,blue
108,118,134,blue
66,80,83,blue
67,78,84,blue
148,152,149,blue
150,152,151,blue
23,124,38,green
18,122,33,green
30,126,42,green
23,53,27,green
82,122,76,green
68,96,54,green
61,81,49,green
132,176,120,green
127,170,106,green
126,137,114,green
49,42,44,orange
53,45,47,orange
43,36,39,orange
38,34,36,orange
40,32,34,orange
68,58,58,orange
40,33,33,orange
41,30,28,orange
41,36,34,orange
57,45,40,orange
62,43,42,orange
179,54,55,red
178,54,54,red
178,54,55,red
113,31,32,red
109,42,61,red
101,24,28,red
97,23,29,red
138,79,82,red
246,106,101,red
245,105,101,red
247,106,101,red
168,97,108,red
163,89,103,red
171,98,115,red
229,206,198,white
237,215,202,white
110,83,75,white
134,117,110,white
158,149,142,white
128,110,102,white
239,216,204,white
185,166,165,white
188,168,167,white
176,153,140,white
154,138,127,white
151,138,124,white
148,115,103,white
148,114,102,white
148,115,102,white
140,102,44,yellow
137,94,34,yellow
216,168,87,yellow
151,118,62,yellow
207,160,59,yellow
255,209,122,yellow
255,210,119,yellow
255,207,122,yellow
203,153,68,yellow
190,152,96,yellow
159,122,70,yellow
163,121,64,yellow
